reporter_iso3,year,hs_cmd,imports_from_china_usd
THA,2019,84,3768.727
THA,2019,84,551907.697
THA,2019,84,3598495.299
THA,2019,85,44838.837
THA,2019,85,216107.079
THA,2019,85,25045581.713
THA,2019,85,1577792.8
THA,2019,85,108009116.037
THA,2019,85,2504286.397
THA,2019,85,5161.132
THA,2019,84,46316.317
THA,2019,84,1383899.788
THA,2019,84,3546.177
THA,2019,84,1420412.641
THA,2019,84,6212051.644
THA,2019,84,333409.886
THA,2019,84,54805.518
THA,2019,84,1216137.68
THA,2019,85,8490490554.071
THA,2019,85,44838.837
THA,2019,85,21104.616
THA,2019,85,1806856.13
THA,2019,85,6707.644
THA,2019,85,38327545.961
THA,2019,85,301648393.201
THA,2019,85,355.658
THA,2019,85,1117480.973
THA,2019,85,3882286.448
THA,2019,84,6592533933.142
THA,2019,84,204783.488
THA,2019,84,9013903777.2
THA,2019,84,1565.785
THA,2019,85,332.996
THA,2019,85,4811.645
THA,2019,84,30943.396
THA,2019,84,1416643.914
THA,2019,84,909296880.736
THA,2019,84,61065.717
THA,2019,84,7706.977
THA,2019,84,714835.9
THA,2019,85,13750.916
THA,2019,85,2252.561
THA,2019,84,74550.0
THA,2019,85,177676.467
THA,2019,84,16877.381
THA,2019,85,97.124
THA,2019,84,407.867
THA,2019,85,907.346
THA,2019,84,775.735
THA,2019,84,5292076.633
THA,2019,84,6732.501
THA,2019,84,70.019
THA,2019,84,1013197.849
THA,2019,84,2182.054
THA,2019,84,61.953
THA,2019,85,34990.592
THA,2019,85,58687.044
THA,2019,85,41.793
THA,2019,85,556.861
THA,2019,85,4632.926
THA,2019,84,9868672.168
THA,2019,85,122444897.569
THA,2019,85,6250.952
THA,2019,85,3753712.936
THA,2019,85,19862284.983
THA,2019,84,1373968.303
THA,2019,84,15440134.49
THA,2019,84,19044916.303
THA,2019,84,1458.528
THA,2019,85,317.803
THA,2019,85,1157340.461
THA,2019,85,6707.644
THA,2019,85,2736.205
THA,2019,85,385050.716
THA,2019,85,66350.523
THA,2019,85,434423.93
THA,2019,85,992.691
THA,2019,85,35097.177
THA,2019,85,3879667.895
THA,2019,85,18359.477
THA,2019,84,812036.526
THA,2019,84,1203037.455
THA,2019,85,5538.975
THA,2019,85,6476.69
THA,2019,85,7642735.946
THA,2019,85,266175.464
THA,2019,85,146488.228
THA,2019,85,4.318
THA,2019,85,285450.27
THA,2019,84,26080.872
THA,2019,84,9131.949
THA,2019,85,180.162
THA,2019,85,2376895.256
THA,2019,85,2659.27
THA,2019,85,1901.397
THA,2019,85,5939.256
THA,2019,84,1070.204
THA,2019,85,76048.093
