,niip_gdp,cape,savings,mfg_share,yield_10y
1988-01-01,423.3673383304043,14.9,8.1,17.108732189090485,8.410967741935485
1988-04-01,147.99511987970797,15.475,8.466666666666667,17.04087707793063,8.912857142857142
1988-07-01,-115.79010133763406,16.05,8.6,16.93723951852437,9.10359375
1988-10-01,-368.8298324903246,16.625,8.433333333333334,16.88419430779213,8.95704918032787
1989-01-01,-611.7120734613345,17.2,8.933333333333334,16.812739989592277,9.211639344262295
1989-04-01,-1116.5418818796668,16.675,8.133333333333333,16.71390411365604,8.75796875
1989-07-01,-1608.6414127979506,16.15,7.833333333333333,16.59677693437962,8.107460317460317
1989-10-01,-2097.8863408625743,15.625,8.200000000000001,16.457545723477256,7.9070967741935485
1990-01-01,-2546.068665848985,15.1,8.233333333333334,16.315127836005228,8.423870967741935
1990-04-01,-2902.180157542884,15.575,8.666666666666666,16.21854093256786,8.674126984126984
1990-07-01,-3265.4149978155033,16.05,8.299999999999999,16.100594300261644,8.701269841269841
1990-10-01,-3661.549147980435,16.525,8.233333333333334,15.9869183192637,8.405967741935482
1991-01-01,-4031.59608548414,17.0,8.833333333333334,15.836065705204243,8.022833333333333
1991-04-01,-4741.705460315574,17.475,8.733333333333333,15.75986565750973,8.12546875
1991-07-01,-5441.909900148841,17.95,8.666666666666666,15.711626897496485,7.95
1991-10-01,-6144.509413300896,18.424999999999997,9.433333333333334,15.654892535363254,7.345
1992-01-01,-6791.168835577365,18.9,9.666666666666666,15.527745504285994,7.3069354838709675
1992-04-01,-5479.102696235359,19.25,9.866666666666667,15.494319452131593,7.376031746031746
1992-07-01,-4217.536789356994,19.6,9.233333333333333,15.417273375537446,6.61875
1992-10-01,-2984.0911339550053,19.95,8.766666666666667,15.332534852776655,6.740322580645161
1993-01-01,-1809.5362494964306,20.3,8.700000000000001,15.276765884001046,6.258196721311475
1993-04-01,-1746.333018991652,20.5,8.2,15.162310764621678,5.988095238095238
1993-07-01,-1686.135535994983,20.700000000000003,7.3,15.058360365282747,5.6153125
1993-10-01,-1613.6366941565252,20.900000000000002,7.133333333333333,14.995904908326212,5.615967741935484
1994-01-01,-1550.2585005562387,21.1,6.7,14.946832662253092,6.090322580645162
1994-04-01,-2099.164460100421,21.575000000000003,6.866666666666667,14.894823694486261,7.089516129032258
1994-07-01,-2645.43740174531,22.05,6.666666666666667,14.856889565406929,7.32796875
1994-10-01,-3162.225255416022,22.525,6.966666666666666,14.834071270521775,7.837213114754098
1995-01-01,-3689.9273612061434,23.0,7.466666666666666,14.792935180008193,7.4712903225806455
1995-04-01,-3828.6751729356965,23.75,6.766666666666667,14.736093003591227,6.60015873015873
1995-07-01,-3942.881314569267,24.5,6.7,14.651443069241433,6.329206349206349
1995-10-01,-4060.6980739743503,25.25,6.466666666666666,14.570579416518619,5.898548387096774
1996-01-01,-4172.425941110773,26.0,6.5,14.501263291671044,5.910483870967742
1996-04-01,-5518.418765965711,27.375,6.3,14.410872329310289,6.7140625
1996-07-01,-6865.545302855298,28.75,6.433333333333334,14.344593284645484,6.7759375
1996-10-01,-8150.894861370854,30.125,6.133333333333333,14.287633422089819,6.354193548387096
1997-01-01,-9425.53531145312,31.5,6.0,14.232678657380086,6.566999999999999
1997-04-01,-9973.353132620989,32.625,6.333333333333333,14.171075146410468,6.6996875000000005
1997-07-01,-10516.202397301664,33.75,5.8,14.14533813283147,6.2421875
1997-10-01,-11092.83386191526,34.875,6.033333333333334,14.128607854928761,5.906290322580645
1998-01-01,-11659.36200160605,36.0,7.033333333333334,14.102597359228218,5.590983606557377
1998-04-01,-11437.376549647875,38.05,6.666666666666667,14.009821116048608,5.593015873015873
1998-07-01,-11161.173924583853,40.1,6.3999999999999995,13.84521032739287,5.20734375
