,total_mfg,cap_intensive,cap_ratio,lab_intensive,lab_ratio,avg_hours
2013-07-01,11988.0,374.90000000000003,3.127293960627294,359.76666666666665,3.0010566121677233,41.800000000000004
2013-10-01,12049.0,372.59999999999997,3.092372811021661,364.73333333333335,3.0270838520485794,41.93333333333333
2014-01-01,12079.333333333334,369.4666666666667,3.0586676968927646,366.1666666666667,3.031348308405541,41.733333333333334
2014-04-01,12125.0,366.6666666666667,3.0240549828178693,367.8333333333333,3.033676975945017,42.03333333333333
2014-07-01,12182.666666666666,365.8333333333333,3.0029002955018056,371.8333333333333,3.0521505964758675,42.03333333333333
2014-10-01,12253.0,367.5,2.9992654860034276,375.6333333333334,3.0656437879158847,42.13333333333333
2015-01-01,12275.333333333334,369.3333333333333,3.0087438222994622,375.8,3.061423993917341,41.9
2015-04-01,12301.333333333334,369.6333333333334,3.0048233253847827,378.8,3.079340992846304,41.8
2015-07-01,12322.333333333334,369.6333333333334,2.9997024373089514,382.8,3.1065544945491923,41.8
2015-10-01,12332.0,370.09999999999997,3.0011352578657147,386.4666666666667,3.1338523083576604,41.8
2016-01-01,12334.666666666666,370.40000000000003,3.002918603394228,389.40000000000003,3.156956004756243,41.833333333333336
2016-04-01,12316.333333333334,369.73333333333335,3.0019756962299384,388.56666666666666,3.1548891715608,41.833333333333336
2016-07-01,12326.0,365.76666666666665,2.9674400995186327,390.6333333333334,3.169181675590892,41.9
2016-10-01,12317.0,363.09999999999997,2.9479581066818215,392.0333333333333,3.182863792590187,41.93333333333333
2017-01-01,12348.333333333334,360.1666666666667,2.9167229045755163,395.0333333333333,3.199082197327574,41.86666666666667
2017-04-01,12378.0,360.90000000000003,2.9156568104701894,395.43333333333334,3.19464641568374,41.96666666666667
2017-07-01,12422.666666666666,361.4666666666667,2.9097348932059677,394.6333333333334,3.176719974240636,41.93333333333333
2017-10-01,12476.666666666666,365.8,2.9318728292813256,394.3666666666666,3.160833555971146,41.96666666666667
2018-01-01,12551.333333333334,366.5333333333333,2.9202740744675197,394.4666666666667,3.142826791310352,42.13333333333333
2018-04-01,12624.666666666666,368.8666666666666,2.9217933146749746,392.93333333333334,3.1124254105718965,42.233333333333334
2018-07-01,12691.333333333334,369.93333333333334,2.914850028891107,392.26666666666665,3.0908231338971475,42.1
2018-10-01,12744.333333333334,370.59999999999997,2.907959092930191,391.1333333333334,3.0690764522794445,42.03333333333333
2019-01-01,12786.666666666666,374.73333333333335,2.9306569343065694,390.1666666666667,3.0513555787278417,41.800000000000004
2019-04-01,12783.333333333334,375.23333333333335,2.9353324641460237,387.40000000000003,3.030508474576271,41.63333333333333
2019-07-01,12788.666666666666,377.40000000000003,2.9510504092164944,386.7,3.023771047281447,41.5
2019-10-01,12756.666666666666,375.8666666666666,2.9464332375228635,385.6333333333334,3.0229945126731126,41.4
2020-01-01,12724.0,374.09999999999997,2.9401131719585036,384.0,3.0179188934297394,41.333333333333336
2020-04-01,11647.333333333334,368.59999999999997,3.164672886497624,330.93333333333334,2.8412798351554005,39.23333333333333
2020-07-01,12009.666666666666,366.5,3.0517083460545673,355.3333333333333,2.9587276915817813,40.96666666666667
2020-10-01,12119.0,365.0,3.011799653436752,365.90000000000003,3.0192260087465965,41.4
2021-01-01,12181.0,366.26666666666665,3.0068686205292394,368.73333333333335,3.027118736830583,41.53333333333333
2021-04-01,12218.666666666666,367.3666666666666,3.006601920558708,370.06666666666666,3.028699257965954,41.5
2021-07-01,12350.333333333334,370.3666666666666,2.99883943753205,375.5,3.040403767779547,41.36666666666667
2021-10-01,12496.0,374.2,2.9945582586427655,380.5333333333333,3.0452411438326927,41.43333333333333
2022-01-01,12613.0,378.1333333333334,2.997965062501652,382.76666666666665,3.0346996485107955,41.4
2022-04-01,12742.666666666666,384.93333333333334,3.020822433818144,380.93333333333334,2.9894318300721987,41.1
2022-07-01,12827.0,393.4666666666667,3.0674878511473196,377.40000000000003,2.9422312309971157,40.96666666666667
2022-10-01,12891.333333333334,398.59999999999997,3.0919997931426795,373.1333333333334,2.8944510523866165,40.833333333333336
2023-01-01,12896.333333333334,399.5333333333333,3.09803820207294,366.09999999999997,2.838791387732947,40.800000000000004
2023-04-01,12876.0,395.90000000000003,3.074712643678161,359.23333333333335,2.7899451175313246,40.7
2023-07-01,12865.0,393.5333333333333,3.05894545925638,354.76666666666665,2.7576110895193677,40.733333333333334
2023-10-01,12856.0,394.1333333333334,3.0657539929475215,351.9666666666667,2.7377618751296415,40.53333333333333
2024-01-01,12854.333333333334,396.3333333333333,3.083266343386147,349.5333333333333,2.7191867852604825,40.5
2024-04-01,12824.0,394.6666666666667,3.077562902890414,344.6333333333334,2.6874090247452695,40.73333333333333
2024-07-01,12778.666666666666,394.76666666666665,3.0892633555926543,340.59999999999997,2.66537979966611,40.733333333333334
2024-10-01,12700.333333333334,391.0,3.078659352772893,338.90000000000003,2.66843389937272,40.766666666666666
2025-01-01,12670.0,386.3333333333333,3.0491975795843196,337.5,2.663772691397001,40.93333333333334
2025-04-01,12649.666666666666,382.43333333333334,3.023268070304883,339.40000000000003,2.6830746528235268,40.96666666666667
2025-07-01,12617.333333333334,375.5333333333333,2.976328859769629,339.09999999999997,2.6875726513790545,41.03333333333333
2025-10-01,12592.0,370.1333333333334,2.939432443879712,335.76666666666665,2.6665078356628547,41.166666666666664
2026-01-01,12583.0,368.8333333333333,2.9312034755887573,333.7,2.651990781212747,41.43333333333333
